Nombre de la serie 	Número secuencial	Alias de la serie	Nombre del archivo con los valores de la serie	Descripción de la serie	Tipo de variable	Código de unidades	Exponente	Número de decimales	Descripción de unidades y exponente	Frecuencia de la serie	Fecha de la primera observación	Fecha de la última observación	Número de observaciones	Título de la serie	Fuente	Notas
DSPC102016CB1QDN0_ES1_VCNTRA.T	3779717	CF_1_1.11	CF0101.csv	CNE. Base 2016. Demanda nacional. Precios corrientes.	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Demanda Nacional/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Versión de la Información:  Contabilidad Nacional trimestral agregada	Instituto Nacional de Estadistica	
DSPC102016CP60000_ES2_RS1_VCNTRA.T	3777779	CF_1_1.12	CF0101.csv	CNE. Base 2016. Exportaciones de bienes y servicios. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Exportaciones de bienes y servicios/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Versión de la Información:  Contabilidad Nacional trimestral agregada	Instituto Nacional de Estadistica	
DSPC102016CP61000_ES2_RS1_VCNTRA.T	3777782	CF_1_1.13	CF0101.csv	CNE. Base 2016. Exportaciones de bienes. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Exportaciones de bienes/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Versión de la Información:  Contabilidad Nacional trimestral agregada	Instituto Nacional de Estadistica	
DSPC102016CP62000_ES2_RS1_VCNTRA.T	3777785	CF_1_1.14	CF0101.csv	CNE. Base 2016. Exportaciones de servicios. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Exportaciones de servicios/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)/Versión de la Información:  Contabilidad Nacional trimestral agregada	Instituto Nacional de Estadistica	
DSPC102016CP62100_ES2_RS1.T	3777786	CF_1_1.15	CF0101.csv	CNE. Base 2016. Exportaciones de servicios. Excepto consumo no residentes en España. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Exportaciones de servicios excepto consumo final de no residentes en el Territorio económico/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)	Instituto Nacional de Estadistica	
DSPC102016CP62200_ES2_RS1.T	3777788	CF_1_1.16	CF0101.csv	CNE. Base 2016. Exportaciones de servicios. Consumo no residentes en España. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Consumo final de no residentes en el Territorio Económico/Sector de Origen:  Empleos. Resto del mundo/Sector de Destino:  Recursos. Economía en su conjunto (Total de la economía)	Instituto Nacional de Estadistica	
DSPC102016CP70000_ES1_RS2_VCNTRA.T	3777793	CF_1_1.17	CF0101.csv	CNE. Base 2016. Importaciones de bienes y servicios. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Importaciones de bienes y servicios/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Versión de la Información:  Contabilidad Nacional trimestral agregada	Instituto Nacional de Estadistica	
DSPC102016CP71000_ES1_RS2_VCNTRA.T	3777796	CF_1_1.18	CF0101.csv	CNE. Base 2016. Importaciones de bienes. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Importaciones de bienes/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Versión de la Información:  Contabilidad Nacional trimestral agregada	Instituto Nacional de Estadistica	
DSPC102016CP72000_ES1_RS2_VCNTRA.T	3777799	CF_1_1.19	CF0101.csv	CNE. Base 2016. Importaciones de servicios. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Importaciones de servicios/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo/Versión de la Información:  Contabilidad Nacional trimestral agregada	Instituto Nacional de Estadistica	
DSPC102016CP72100_ES1_RS2.T	3777800	CF_1_1.20	CF0101.csv	CNE. Base 2016. Importaciones de servicios. Excepto consumo residentes en resto del mundo. Precios corrientes	SUMA	EUR	6	0	Millones de Euros	TRIMESTRAL	MAR 1995	SEP 2020	103	Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2016/Valoración:  Precios corrientes/Operaciones y otros Flujos:  Importaciones de servicios excepto consumo final de residentes en el Resto del Mundo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Sector de Destino:  Recursos. Resto del mundo	Instituto Nacional de Estadistica	
